City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
71,East London,ZA,-33.0153,27.9116,67.14,94,75,9.22,Drizzle : light intensity drizzle
72,Katsuura,JP,35.1333,140.3,33.91,39,51,4.09,Clouds : broken clouds
73,Luziania,BR,-16.2525,-47.9503,82.09,62,89,4.32,Rain : light rain
74,Barrow,US,71.2906,-156.7887,-11.18,64,100,12.66,Snow : light snow
75,Clyde River,CA,70.4692,-68.5914,-19.97,69,75,11.5,Clouds : broken clouds
76,Saint George,US,37.1041,-113.5841,49.35,39,0,1.01,Clear : clear sky
77,Huarmey,PE,-10.0681,-78.1522,76.24,71,18,10.92,Clouds : few clouds
78,Oberstdorf,DE,47.4,10.2833,35.82,77,3,1.01,Clear : clear sky
79,Mount Gambier,AU,-37.8333,140.7667,60.71,77,100,6.91,Clouds : overcast clouds
80,Itu,BR,-23.2642,-47.2992,83.32,93,100,7.56,Clouds : overcast clouds
81,Kadnikov,RU,59.5022,40.338,3.04,98,47,4.56,Clouds : scattered clouds
82,Bilma,NE,18.6853,12.9164,66.61,16,0,4.41,Clear : clear sky
83,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,0,21.85,Thunderstorm : thunderstorm
84,Klaksvik,FO,62.2266,-6.589,36.52,92,97,43.96,Clouds : overcast clouds
85,Tiksi,RU,71.6872,128.8694,-22.02,98,100,7.56,Clouds : overcast clouds
86,Vardo,NO,70.3705,31.1107,26.55,78,100,26.98,Clouds : overcast clouds
87,Lagoa,PT,39.05,-27.9833,58.6,75,62,16.24,Clouds : broken clouds
88,Margate,GB,51.3813,1.3862,49.03,74,89,10.0,Clouds : overcast clouds
89,Mezhdurechensk,RU,53.6942,88.0603,8.87,97,92,2.57,Clouds : overcast clouds
90,Aykhal,RU,66.0,111.5,-25.87,100,78,5.17,Clouds : broken clouds
91,Marzuq,YE,14.4,46.4667,68.43,41,18,6.08,Clouds : few clouds
92,Hofn,IS,64.2539,-15.2082,28.98,58,100,10.07,Snow : light snow
93,Kaitangata,NZ,-46.2817,169.8464,44.08,93,34,6.06,Clouds : scattered clouds
94,Grand Gaube,MU,-20.0064,57.6608,80.38,80,100,10.0,Clouds : overcast clouds
95,Khobi,GE,42.3156,41.8987,32.34,74,96,1.68,Snow : light snow
96,Amaraji,BR,-8.3831,-35.4525,84.85,50,60,12.57,Clouds : broken clouds
97,Chapais,CA,49.7834,-74.8492,-4.22,72,25,9.71,Clouds : scattered clouds
98,Mwinilunga,ZM,-11.7358,24.4293,63.43,96,27,4.7,Rain : light rain
99,La Ronge,CA,55.1001,-105.2842,-9.15,64,75,9.22,Clouds : broken clouds
100,Batagay-Alyta,RU,67.8006,130.4114,-25.65,99,67,3.58,Clouds : broken clouds
101,Cidreira,BR,-30.1811,-50.2056,86.92,58,91,9.22,Rain : moderate rain
102,Huntingdon,GB,52.3305,-0.1865,50.09,78,100,15.01,Clouds : overcast clouds
103,Kirovskiy,RU,45.0917,133.5136,-5.15,100,100,2.95,Snow : light snow
104,Port Lincoln,AU,-34.7333,135.8667,65.8,80,100,15.99,Clouds : overcast clouds
